Item#,UPC,MAT #,Title,Studio,Synopsis,Brand,SRP,Direct Cost,Street Date/ Reprice Date,Order Date,Announce Date,# of Discs,Run Time (Min),TAGS,Aspect Ratio,Language (Main and Dubbed),Subtitles,Rating,Production Date,Talent,Director,Producer,BD Item#,BD UPC,BD SRP,BD Street Date/ Reprice Date,BD prebook,BD Config,BD Run Time (Min),BD Aspect Ratio,BD Subtitles
,,,The Sure Thing,Shout! Factory,"College freshman Walter ""Gib"" Gibson (Cusack) has a ""sure thing“ date with a very hot and very sex-craved blonde (Sheridan) across the country in LA. Crossed by fate--and the ride-share bulletin board--Gib makes the trip with a studious and abrasive coed (Zuniga). But as they overcome every obstacle, from show-tune-singing simpletons and bad weather to leering truck drivers and worse luck, their temperaments change and Gib realizes that the only sure thing is that losing the real thing would be the worst thing of all! 
",,,,,,,,,genre: Drama,,English,,,1985,,,,SF15690,826663156904,24.97,3/24/2015,2/10/2015,Blu-ray Single,95 minutes,,English
FL4706,883476147062,,The Yu-Gi-Oh! Collection: Volume 1,Flatiron Film Company,,,16.95,8.5,3/16/2015,1/20/2015,12/8/2014,DVD 2-pk SET,226 min,genre:Anime,,,,TV-Y7,2015,,,,,,,,,,,,
62157,011301621573,88169244000,Tom Sawyer ,Shout! Factory,"Ride a riverboat back to the good old days with Johnny Whitaker (A Talking Cat!?!, television’s “Family Affair”) and Jodie Foster in 1973’s Oscar-nominated musical adaptation of Mark Twain’s classic novel, Tom Sawyer.

The irrepressible Tom (Whitaker) and his pal Huck Finn (Jeff East) are well known in the town of Hannibal, Missouri as mischief-makers and tellers of tall tales. But when they witness a shocking crime for which the lovable town drunk Muff Potter (Warren Oates, The Wild Bunch) is framed, the two boys find themselves in bigger trouble than they’d ever imagined possible! Can Tom clear Muff’s name, win the heart of the town’s new arrival Becky Thatcher (Foster)…and save his own skin?

Celeste Holm (All About Eve) also stars in this charming take on one of America’s great books. Featuring a screenplay and songs written by the legendary Richard M. Sherman and Robert B. Sherman (Mary Poppins, Chitty Chitty Bang Bang), Tom Sawyer is a glorious musical adventure for the whole family.
",Timeless Media,14.98,7.75,3/24/2015,2/10/2015,12/8/2014,DVD Single,103 minutes,"genre: Family,  genre: Family",,English,,,1973,,,,,,,,,,,,
DS4663,883476146638,88169155000,Treehouse Masters: Season 1,Discovery Communications,"Pete Nelson builds with his head in the clouds—quite literally—as he brings to reality the fantastical treehouse imaginings of his clients. But you’ll soon see that these treehouses are much more than child’s play. You’ll cross a rope bridge that leads to a barn-red brewery, tour a kitchen with top-of-the-line appliances, and sit by a peat-burning fireplace in a Celtic-themed cottage. All of these dreams are nestled in the trees, dreams that beckon to both the rambunctious inner child as well as the refined adult. This 2-disc set of Treehouse Masters will invite you to climb inside and see the best of both worlds, while imagining your very own dream house in the trees.
",,29.93,16.5,3/10/2015,1/27/2015,12/8/2014,DVD 2-pk SET,352 min,genre: Special Interest,16:9,English,,TV-14,,,,,,,,,,,,,
CD75597,727994755975,88169229000,When Sharks Attack,National Geographic,"From America’s coastline to exotic beaches around the world, the number of reported shark attacks has increased in the last half century. Many of the attacks are popping up in new and surprising locations. National Geographic investigates these attacks to see what is affecting some of nature’s most feared fish.
",,19.97,11.75,3/17/2015,2/3/2015,12/8/2014,DVD Single,135 minutes,"genre: Special Interest,  genre: Reality",,English,English,,2013,,,,,,,,,,,,
8792,089859879227,88169228000,Without Pity,VCI Entertainment,"As World War II ends, some African-American soldiers refuse to abandon northern Italy to return to the United States, due to the racial intolerance there, deserting instead. Of them, Jerry (John Kitzmiller) falls in love with Angela (Carla Del Poggio), a local girl who has fallen on hard times after the war.
The film's sensitive subject matter caused problems in distribution. WITHOUT PITY was banned in the United States and British occupation zones in Germany, but was popular with Italian audiences.
",,19.97,11.75,3/24/2015,2/10/2015,12/8/2014,DVD Single,90 mins.,"genre: Drama,  genre: Cult Classic",1.33:1,English,English,NR,2015,"Carla Del Poggio, John Kitzmiller, Giuletta Masina",Alberto Lattuada,,,,,,,,,,
SF15681,826663156812,88169216000,WKRP In Cincinnati: Season One,Shout! Factory,"Pairing an impeccable ensemble cast with hilarious wit and popular tunes, WKRP In Cincinnati is the quintessential situation comedy for any music lover! Join everyone's favorite radio DJs—the rockin' Dr. Johnny Fever (Howard Hesseman) and the soulful Venus Flytrap (Tim Reid)—as they weave through the inner-office antics of the crazy WKRP staff; including the station's program director Andy (Gary Sandy), indecisive manager Arthur (Gordon Jump), advertising executive Herb (Frank Bonner) and, of course, the station's lovely receptionist, Jennifer (Loni Anderson).  So sit back and enjoy the sound of uproarious laughter!
",,24.97,13.75,3/17/2015,2/3/2015,12/8/2014,DVD 3-pk SET,405 minutes,"genre: Comedy,  genre: Cult Classic",,English,,,1978-79,,,,,,,,,,,,
SF15682,826663156829,88169224000,WKRP In Cincinnati: Season Two,Shout! Factory,"Pairing an impeccable ensemble cast with hilarious wit and popular tunes, WKRP In Cincinnati is the quintessential situation comedy for any music lover! Join everyone's favorite radio DJs—the rockin' Dr. Johnny Fever (Howard Hesseman) and the soulful Venus Flytrap (Tim Reid)—as they weave through the inner-office antics of the crazy WKRP staff; including the station's program director Andy (Gary Sandy), indecisive manager Arthur (Gordon Jump), advertising executive Herb (Frank Bonner) and, of course, the station's lovely receptionist, Jennifer (Loni Anderson).  So sit back and enjoy the sound of uproarious laughter!
",,24.97,13.75,3/17/2015,2/3/2015,12/8/2014,DVD 3-pk SET,405 minutes,"genre: Comedy,  genre: Cult Classic",,English,,,1979-80,,,,,,,,,,,,
RM4606,883476146065,88169230000,"Wolfy, The Incredibe Secret",Random Media,"A wolf and a rabbit set out to find the wolf’s mother, who is surprisingly still alive, but they arrive in her town in the midst of the world’s most renowned carnivore food fest.  Who will survive and who will be the main dish du jour?  A big secret about the wolf’s birth is revealed.
",,14.93,7.75,3/17/2015,2/3/2015,12/8/2014,DVD Single,80 minutes,"genre: Family,  genre: Animation",,English,,,2013,,,,,,,,,,,,
NA4671,883476146713,88169247000,WWJD The Journey Continues,Nasser,"Bound by a promise he made to his mother on her deathbed, a pastor seeks to lead his wayward ex-con brother to Christ as they work together to renovate a dilapidated church. But when a desperate man robs the church at gunpoint, one brother’s sacrifice sets events into motion that lead the pastor, the gunman, and the community on an improbable journey of faith and redemption.
",,14.93,7.75,3/31/2015,2/17/2015,12/8/2014,DVD Single,90 min,"genre: Family,  genre: Faith",WS,English,English,NR,2015,John Schneider,,,,,,,,,,,
8342,089859834226,88149774000,Zorro's Cliffhanger Collection,VCI Entertainment,"Zorro Rides Again: A crook named Marsden is trying to gain control of the California-Yucatan Railroad. A masked stranger, who gives his name as Zorro, comes to the aid of the railway. 
Starring: John Carroll, Helen Christian / Directed by: William Witney & John English

Zorro’s Black Whip: Randolph Meredith, newspaper owener, is killed in a battle in Crescent City. Meredith's sister takes over the paper and also takes on the identity of the Black Whip, a leather-clad avenger who defeats the outlaws. 
Starring: George J. Lewis, Linda Stirling / Directed by: Spencer G. Bennett, Wallace Grissell

Zorro’s Fighting Legion: A mysterious reincarnation of a Yaqui god called Don Del Oro was inciting the natives to rebel in order to take over California for his own purposes. Zorro manages to survive avalanches, explosions, flooded tunnels and collapsing bridges, in order to reveal Don Del Oro's true identity.  
",,29.93,16.5,3/10/2015,1/27/2015,12/8/2014,DVD 3-pk SET,564 minutes,genre: Serials,1.33:1,English,,NR,1937-44,"ZORRO RIDES AGAIN: John Carroll, Helen Christian, Reed Howes, Duncan Renaldo, Richard Alexander, Noah Beery ZORRO's BLACK WHIP: George J. Lewis, Linda Stirling, Lucien Littlefield, Francis McDonald, Hal Taliaferro, John Merton ZORRO's FIGHTING LEGION: Reed Hadley, Sheila Darcy, William Corson, Leander De Cordova, C. Montague Shaw, Edmund Cobb","ZORRO RIDES AGAIN: William Witney, John English ZORRO's BLACK WHIP: Spencer G. Bennett, Wallace Grissell ZORRO's FIGHTING LEGION: William Witney, John English",,,,,,,,,,
